Unnamed: 0,dataset,n_records,n_subjects,n_tasks,nchans_set,sampling_freqs,duration_hours_total,size,size_bytes,source,DatasetID,Type Subject,modality of exp,type of exp,record_modality,dataset_title,license,doi,nemar_citation_count
24,ds000247,10,6,2,297*,2400,1.0158333333333334,10.27 GB,11024087953,openneuro,ds000247,Healthy,Resting State,Resting-state,meg,MEG-BIDS OMEGA RestingState_sample,CC0,doi:10.18112/openneuro.ds000247.v1.0.2,3.0
25,ds000248,3,2,2,376*,600,0.1076979446929193,177.59 MB,186216741,openneuro,ds000248,Healthy,Multisensory,Attention,meg,MNE-Sample-Data,CC0,10.18112/openneuro.ds000248.v1.2.4,3.0
26,ds001785,54,18,3,71,1024*,25.714475,24.87 GB,26701806128,openneuro,ds001785,Healthy,Tactile,Perception,eeg,Evidence accumulation relates to perceptual consciousness and monitoring,CC0,10.18112/openneuro.ds001785.v1.1.1,2.0
27,ds001787,40,24,1,79,256,27.607222222222223,5.69 GB,6112012191,openneuro,ds001787,Healthy,Auditory,Attention,eeg,EEG meditation study,CC0,doi:10.18112/openneuro.ds001787.v1.1.1,6.0
28,ds001810,263,47,1,73,512,91.205,45.74 GB,49117378796,openneuro,ds001810,Healthy,Visual,Attention,eeg,"EEG study of the attentional blink; before, during, and after transcranial Direct Current Stimulation (tDCS)",CC0,10.18112/openneuro.ds001810.v1.1.0,6.0
29,ds001849,120,20,1,30,5000,,44.51 GB,47790430570,openneuro,ds001849,Healthy,Multisensory,Clinical/Intervention,eeg,RS_TMSEEG_Data,CC0,10.18112/openneuro.ds001849.v1.0.2,1.0
30,ds001971,273,20,1,115*,512,39.845172526041665,31.98 GB,34339201028,openneuro,ds001971,Healthy,Auditory,Motor,eeg,Audiocue walking study,Creative commons,10.18112/openneuro.ds001971.v1.1.1,2.0
31,ds002001,69,11,2,[],2400,,81.67 GB,87694131395,openneuro,ds002001,Unknown,Unknown,Unknown,meg,Rivalry_Tagging,PD,10.18112/openneuro.ds002001.v1.0.0,3.0
32,ds002034,167,14,4,81,512,35.84861111111111,10.1 GB,10842685064,openneuro,ds002034,Healthy,Visual,Attention,eeg,Real-time EEG feedback on alpha power lateralization leads to behavioral improvements in a covert attention task,CC0,doi:10.18112/openneuro.ds002034.v1.0.3,7.0
33,ds002094,43,20,3,30,5000,19.60131094444445,39.43 GB,42339775606,openneuro,ds002094,,Resting State,Resting state,eeg,Single-pulse open-loop TMS-EEG dataset,CC0,,30.0
34,ds002158,117,20,1,64,5000,17.080816666666667,76.54 GB,82185122527,openneuro,ds002158,Healthy,Visual,Affect,eeg,Disentangling the origins of confidence in speeded perceptual judgments through multimodal imaging,CC0,10.18112/openneuro.ds002158.v1.0.2,1.0
35,ds002181,226,226,1,125,500,7.675835,150.89 MB,158221569,openneuro,ds002181,Development,Visual,Resting-state,eeg,CRYPTO and PROVIDE EEG Baseline Data,CC0,mockDOI,1.0
36,ds002218,18,18,1,32,256,16.52023003472222,1.95 GB,2089143297,openneuro,ds002218,Healthy,Multisensory,Perception,eeg,Auditory and Visual Rhythm Omission EEG,CC0,mockDOI,1.0
37,ds002312,23,19,1,257,1000,7.096010277777777,34.09 GB,36600686939,openneuro,ds002312,Unknown,Unknown,Unknown,meg,OcularLDT,CC0,10.18112/openneuro.ds002312.v1.0.0,
38,ds002336,54,10,6,64,5000,11.043072222222222,16.81 GB,18046628207,openneuro,ds002336,Healthy,Visual,Motor,eeg,A multi-modal human neuroimaging dataset for data integration: simultaneous EEG and fMRI acquisition during a motor imagery neurofeedback task: XP1,CC0,10.18112/openneuro.ds002336.v2.0.2,4.0
39,ds002338,85,17,4,64,5000,15.745905555555556,24.24 GB,26024158019,openneuro,ds002338,Healthy,Visual,Motor,eeg,A multi-modal human neuroimaging dataset for data integration: simultaneous EEG and fMRI acquisition during a motor imagery neurofeedback task: XP2,CC0,10.18112/openneuro.ds002338.v2.0.1,11.0
40,ds002550,377,22,2,308*,1200*,30.509356643518515,167.5 GB,179848999649,openneuro,ds002550,Healthy,Visual,Memory,meg,Differential brain mechanisms of selection and maintenance of information during working memory (MEG data),CC0,10.18112/openneuro.ds002550.v1.0.1,0.0
41,ds002578,2,2,1,256,256,1.455,1.33 GB,1429242343,openneuro,ds002578,Healthy,Visual,Attention,eeg,Visual Oddball Task (256 channels),CC0,10.18112/openneuro.ds002578.v1.1.0,1.0
42,ds002680,350,14,1,31,1000,20.808333333333337,9.22 GB,9902131689,openneuro,ds002680,Healthy,Visual,Motor,eeg,Go-nogo categorization and detection task,CC0,10.18112/openneuro.ds002680.v1.2.0,5.0
43,ds002691,20,20,1,32,250,6.721111111111111,776.75 MB,814480634,openneuro,ds002691,Healthy,Visual,Attention,eeg,Internal attention study,CC0,10.18112/openneuro.ds002691.v1.1.0,2.0
44,ds002712,82,25,1,312*,1000,24.06388888888889,101.77 GB,109278657976,openneuro,ds002712,Healthy,Visual,Perception,meg,Numbers and Letters,CC0,10.18112/openneuro.ds002712.v1.0.1,1.0
45,ds002718,18,18,1,74,250,14.844166666666666,4.31 GB,4623904945,openneuro,ds002718,Healthy,Visual,Perception,eeg,Face processing EEG dataset for EEGLAB,CC0,doi:10.18112/openneuro.ds002718.v1.1.0,11.0
46,ds002720,165,18,0,19,1000,18.774722222222223,2.39 GB,2563670728,openneuro,ds002720,Healthy,Auditory,Affect,eeg,A  dataset  recorded  during  development  of a  tempo-based  brain-computer  music  interface,CC0,10.18112/openneuro.ds002720.v1.0.1,1.0
47,ds002721,185,31,0,19,1000,26.282777777777778,3.35 GB,3598850279,openneuro,ds002721,Healthy,Auditory,Affect,eeg,An EEG dataset recorded during affective music listening,CC0,10.18112/openneuro.ds002721.v1.0.2,10.0
48,ds002722,94,19,0,37,1000,22.889444444444443,6.1 GB,6545791966,openneuro,ds002722,Healthy,Auditory,Affect,eeg,A dataset recorded during development of an affective brain-computer music interface: calibration session,CC0,10.18112/openneuro.ds002722.v1.0.1,2.0
49,ds002723,44,8,0,37,1000,10.46888888888889,2.6 GB,2789434877,openneuro,ds002723,Healthy,Auditory,Affect,eeg,A dataset recorded during development of an affective brain-computer music interface: testing session,CC0,10.18112/openneuro.ds002723.v1.1.0,1.0
50,ds002724,96,10,0,37,1000,28.610555555555557,8.52 GB,9147071936,openneuro,ds002724,Healthy,Auditory,Affect,eeg,A dataset recorded during development of an affective brain-computer music interface: training sessions,CC0,10.18112/openneuro.ds002724.v1.0.1,1.0
51,ds002725,105,21,5,46,1000,22.538611111111113,15.32 GB,16445696685,openneuro,ds002725,Healthy,Auditory,Affect,eeg,A dataset recording joint EEG-fMRI during affective music listening,CC0,10.18112/openneuro.ds002725.v1.0.0,2.0
52,ds002761,249,25,2,306,600,,1.68 MB,1758242,openneuro,ds002761,Healthy,Visual,Memory,meg,memoryreplay,CC0,doi:10.18112/openneuro.ds002761.v1.1.2,1.0
53,ds002778,46,31,1,41,512,2.517752821180556,545.0 MB,571470906,openneuro,ds002778,Parkinson's,Resting State,Resting state,eeg,UC San Diego Resting State EEG Data from Patients with Parkinson's Disease,CC0,doi:10.18112/openneuro.ds002778.v1.0.5,42.0
54,ds002791,92,23,0,256*,1000,13.535969444444444,47.09 GB,50562457196,openneuro,ds002791,Unknown,Unknown,Unknown,eeg,DataSet1,CC0,10.18112/openneuro.ds002791.v1.0.0,0.0
55,ds002799,16824,27,2,[],[],,0B,0,openneuro,ds002799,Epilepsy,Other,Clinical/Intervention,ieeg,Human es-fMRI Resource: Concurrent deep-brain stimulation and whole-brain functional MRI,CC0,10.18112/openneuro.ds002799.v1.0.4,
56,ds002814,168,21,1,72,1200,,27.73 GB,29779119341,openneuro,ds002814,Healthy,Visual,Perception,eeg,A Multimodal Neuroimaging Dataset to Study Spatiotemporal Dynamics of Visual Processing in Humans,CC0,doi:10.18112/openneuro.ds002814.v1.3.0,4.0
57,ds002833,80,20,1,257,1000,11.603826666666668,39.77 GB,42698181625,openneuro,ds002833,Healthy,Auditory,Decision-making,eeg,DataSet2,CC0,10.18112/openneuro.ds002833.v1.0.0,0.0
58,ds002885,7,2,4,306*,19200*,0.3995833333333333,20.06 GB,21543178912,openneuro,ds002885,Other,Other,Other,meg,DBS Phantom Recordings,CC0,10.18112/openneuro.ds002885.v1.0.1,1.0
59,ds002893,52,49,1,36,250,37.7789260473112,7.7 GB,8262777491,openneuro,ds002893,Healthy,Multisensory,Attention,eeg,Auditory-Visual Shift Study,CC0,doi:10.18112/openneuro.ds002893.v2.0.0,1.0
60,ds002908,53,13,1,299,2400,5.105833333333333,59.79 GB,64199908375,openneuro,ds002908,Unknown,Unknown,Unknown,meg,Human MEG recordings during sequential conflict task,CC0,10.18112/openneuro.ds002908.v1.0.0,1.0
61,ds003004,34,34,1,219*,256,49.07222222222222,36.05 GB,38704522994,openneuro,ds003004,Healthy,Auditory,Affect,eeg,Imagined Emotion Study,CC0,doi:10.18112/openneuro.ds003004.v1.1.1,7.0
62,ds003029,106,35,1,129*,1000*,8.208814574268422,10.32 GB,11083752416,openneuro,ds003029,Epilepsy,Other,Clinical/Intervention,ieeg,Epilepsy-iEEG-Multicenter-Dataset,CC0,doi:10.18112/openneuro.ds003029.v1.0.5,19.0
63,ds003039,19,19,1,67,500,17.507142777777776,7.82 GB,8401128487,openneuro,ds003039,Healthy,Motor,Motor,eeg,free walking study,CC0,doi:10.18112/openneuro.ds003039.v1.0.2,2.0
64,ds003061,39,13,1,79,256,8.206666666666667,2.26 GB,2421802195,openneuro,ds003061,Healthy,Auditory,Perception,eeg,EEG data from an auditory oddball task,CC0,doi:10.18112/openneuro.ds003061.v1.1.0,4.0
65,ds003078,72,6,1,[],[],,10.95 GB,11761361020,openneuro,ds003078,Surgery,Unknown,Clinical/Intervention,ieeg,PROBE iEEG,CC0,10.18112/openneuro.ds003078.v1.0.0,1.0
66,ds003082,3,2,2,300*,12000*,0.2955555555555555,13.24 GB,14215257908,openneuro,ds003082,Unknown,Unknown,Unknown,meg,Auditory Cortex Mapping Dataset,CC0,10.18112/openneuro.ds003082.v1.0.0,5.0
67,ds003104,1,1,1,316,300,0.2491881047669284,333.73 MB,349944649,openneuro,ds003104,Unknown,Tactile,Perception,meg,MNE-somato-data-bids (anonymized),CC0,doi:10.18112/openneuro.ds003104.v1.0.1,0.0
68,ds003190,384,19,2,9*,256,39.74703125,1.01 GB,1079425010,openneuro,ds003190,Healthy,Visual,Perception,eeg,Assesment of the visual stimuli properties in P300 paradigm,CC0,10.18112/openneuro.ds003190.v1.0.1,4.0
69,ds003194,29,15,2,19*,200,7.177747222222222,189.15 MB,198333437,openneuro,ds003194,Parkinson's,Resting State,Clinical/Intervention,eeg,Neuroepo multisession,CC0,10.18112/openneuro.ds003194.v1.0.3,3.0
70,ds003195,20,10,2,19,200,4.653659722222222,121.08 MB,126957087,openneuro,ds003195,Parkinson's,Resting State,Clinical/Intervention,eeg,Placebo Neuroepo multisession,CC0,10.18112/openneuro.ds003195.v1.0.3,3.0
71,ds003343,59,20,1,20,500,6.434444444444445,663.36 MB,695587039,openneuro,ds003343,Healthy,Tactile,Perception,eeg,Disentangling the percepts of illusory movement and sensory stimulation during tendon vibration in the EEG,CC0,10.18112/openneuro.ds003343.v2.0.1,1.0
72,ds003352,138,18,1,323,1000,52.308295,214.29 GB,230092820068,openneuro,ds003352,Unknown,Visual,Perception,meg,1 - Light Pink Spiral,CC0,10.18112/openneuro.ds003352.v1.0.0,4.0
73,ds003374,18,9,1,4*,2000,2.61,167.33 MB,175461388,openneuro,ds003374,Epilepsy,Visual,Affect,ieeg,Dataset of neurons and intracranial EEG from human amygdala during aversive dynamic visual stimulation,CC0,10.18112/openneuro.ds003374.v1.1.1,4.0
74,ds003380,5,1,0,[],[],0.0894444444444444,19.66 MB,20614209,openneuro,ds003380,Other,Anesthesia,Clinical/Intervention,eeg,"Corticothalamic communication under analgesia, sedation and gradual ischemia: a multimodal model of controlled gradual cerebral ischemia in pig",CC0,10.18112/openneuro.ds003380.v1.0.0,
75,ds003392,33,12,2,320,2000,1.232496944444445,10.08 GB,10818491467,openneuro,ds003392,Healthy,Visual,Perception,meg,NeuroSpin hMT+ Localizer DATA (MEG & aMRI),CC0,10.18112/openneuro.ds003392.v1.0.4,0.0
76,ds003420,92,23,0,256*,1000,13.535969444444444,47.09 GB,50565140405,openneuro,ds003420,Healthy,Visual,Other,eeg,HD-EEGtask(Dataset 1),CC0,10.18112/openneuro.ds003420.v1.0.2,1.0
77,ds003421,80,20,1,257,1000,11.603826666666668,39.58 GB,42498451545,openneuro,ds003421,Healthy,Multisensory,Decision-making,eeg,HD-EEGtask(Dataset 2),CC0,10.18112/openneuro.ds003421.v1.0.2,3.0
78,ds003458,23,23,1,66*,500,10.447388888888888,4.72 GB,5065148524,openneuro,ds003458,Healthy,Visual,Affect,eeg,EEG: Three armed bandit gambling task,CC0,10.18112/openneuro.ds003458.v1.1.0,0.0
79,ds003474,122,122,1,66*,500,36.61049388888889,16.64 GB,17867698098,openneuro,ds003474,Healthy,Visual,Decision-making,eeg,EEG: Probabilistic Selection and Depression,CC0,10.18112/openneuro.ds003474.v1.1.0,9.0
80,ds003478,243,122,1,66*,500,23.35965722222222,10.65 GB,11430503904,openneuro,ds003478,Healthy,Resting State,Resting state,eeg,EEG: Depression rest,CC0,10.18112/openneuro.ds003478.v1.1.0,22.0
81,ds003483,41,21,2,320,1000,11.018888888888888,24.48 GB,26285775768,openneuro,ds003483,Unknown,Unknown,Unknown,meg,Logical reasoning study,CC0,10.18112/openneuro.ds003483.v1.0.2,3.0
82,ds003490,75,50,1,67,500,12.759916666666664,5.85 GB,6276604033,openneuro,ds003490,Parkinson's,Auditory,Attention,eeg,EEG: 3-Stim Auditory Oddball and Rest in Parkinson's,CC0,10.18112/openneuro.ds003490.v1.1.0,13.0
83,ds003498,385,20,0,64*,2000,32.344113194444446,44.73 GB,48030875385,openneuro,ds003498,Epilepsy,Resting State,Clinical/Intervention,ieeg,interictal iEEG during slow-wave sleep with HFO markings,CC0,10.18112/openneuro.ds003498.v1.0.1,3.0
84,ds003505,37,19,2,128,2048,,28.97 GB,31105987628,openneuro,ds003505,Healthy,Visual,Perception,eeg,VEPCON: Source imaging of high-density visual evoked potentials with multi-scale brain parcellations and connectomes,CC0,doi:10.18112/openneuro.ds003505.v1.1.1,5.0
85,ds003506,84,56,1,67,500,35.38127777777778,16.2 GB,17399670602,openneuro,ds003506,Parkinson's,Visual,Decision-making,eeg,EEG: Reinforcement Learning in Parkinson's,CC0,10.18112/openneuro.ds003506.v1.1.0,4.0
86,ds003509,84,56,1,67,500,48.53486111111111,22.34 GB,23987498608,openneuro,ds003509,Parkinson's,Visual,Learning,eeg,EEG: Simon Conflict in Parkinson's,CC0,10.18112/openneuro.ds003509.v1.1.0,5.0
87,ds003516,25,25,1,49,500,22.56954166666667,7.59 GB,8152002419,openneuro,ds003516,Healthy,Auditory,Attention,eeg,EEG: Attended Speaker Paradigm (Own Name in Ignored Stream),CC0,10.18112/openneuro.ds003516.v1.1.1,3.0
88,ds003517,34,17,1,65,500,13.00626388888889,5.83 GB,6262665570,openneuro,ds003517,Healthy,Visual,Learning,eeg,EEG: Continuous gameplay of an 8-bit style video game,CC0,10.18112/openneuro.ds003517.v1.1.0,5.0
89,ds003518,137,110,1,64,500,89.88768666666667,39.51 GB,42423396129,openneuro,ds003518,Healthy,Visual,Clinical/Intervention,eeg,EEG: Simon Conflict w/ Reinforcement + Cabergoline Challenge,CC0,10.18112/openneuro.ds003518.v1.1.0,0.0
90,ds003519,54,27,1,64,500,20.50396111111111,8.96 GB,9623063888,openneuro,ds003519,Healthy,Visual,Clinical/Intervention,eeg,EEG: Visual Working Memory + Cabergoline Challenge,CC0,10.18112/openneuro.ds003519.v1.1.0,3.0
91,ds003522,200,96,1,65*,500,57.07904611111111,25.36 GB,27224783220,openneuro,ds003522,TBI,Auditory,Decision-making,eeg,EEG: Three-Stim Auditory Oddball and Rest in Acute and Chronic TBI,CC0,10.18112/openneuro.ds003522.v1.1.0,5.0
92,ds003523,221,91,1,65*,500,84.58588777777777,37.54 GB,40304005269,openneuro,ds003523,TBI,Visual,Memory,eeg,EEG: Visual Working Memory in Acute TBI,CC0,10.18112/openneuro.ds003523.v1.1.0,3.0
93,ds003555,30,30,1,23*,1024,107.92361111111111,15.07 GB,16177352613,openneuro,ds003555,Epilepsy,Resting State,Clinical/Intervention,eeg,Dataset of EEG recordings of pediatric patients with epilepsy based on the 10-20 system,CC0,10.18112/openneuro.ds003555.v1.0.1,8.0
94,ds003568,118,51,2,340*,1200,22.541666666666668,123.42 GB,132520000612,openneuro,ds003568,Healthy,Visual,Affect,meg,Mood induction in MDD and healthy adolescents,CC0,10.18112/openneuro.ds003568.v1.0.2,4.0
95,ds003570,40,40,1,64,2048,26.208055555555557,47.62 GB,51133422324,openneuro,ds003570,Healthy,Auditory,Decision-making,eeg,EEG: Improvisation and Musical Structures,CC0,10.18112/openneuro.ds003570.v1.0.0,1.0
96,ds003574,18,18,1,69,500,30.093788888888888,17.95 GB,19277929546,openneuro,ds003574,Healthy,Visual,Affect,eeg,Reward biases spontaneous neural reactivation during sleep,CC0,10.18112/openneuro.ds003574.v1.0.2,1.0
97,ds003602,699,118,6,35,1000,152.53169944444446,73.21 GB,78609742101,openneuro,ds003602,Other,Visual,Decision-making,eeg,Childhood Sexual Abuse and problem drinking in women: Neurobehavioral mechanisms,CC0,10.18112/openneuro.ds003602.v1.0.0,0.0
98,ds003620,100,44,1,35,500,59.53691277777778,17.04 GB,18299512036,openneuro,ds003620,Healthy,Auditory,Attention,eeg,Runabout: A mobile EEG study of auditory oddball processing in laboratory and real-world conditions,CC0,doi:10.18112/openneuro.ds003620.v1.1.1,4.0
99,ds003626,30,10,1,[],[],12.951944444444443,18.28 GB,19624686464,openneuro,ds003626,Healthy,Visual,Motor,eeg,Inner Speech,CC0,10.18112/openneuro.ds003626.v2.0.0,6.0
100,ds003633,96,12,2,409*,600*,21.97826087962963,73.51 GB,78926559646,openneuro,ds003633,Healthy,Multisensory,Perception,meg,ForrestGump-MEG,CC0,doi:10.18112/openneuro.ds003633.v1.0.3,1.0
101,ds003638,57,57,1,72,512,40.5975,15.27 GB,16397669261,openneuro,ds003638,Healthy,Visual,Decision-making,eeg,"EEG: Electrophysiological biomarkers of behavioral dimensions 
from cross-species paradigms",CC0,10.18112/openneuro.ds003638.v1.0.0,1.0
102,ds003645,224,19,2,404*,1100,,106.32 GB,114157254734,openneuro,ds003645,Healthy,Visual,Perception,"eeg, meg",Face processing MEEG dataset with HED annotation,CC0,doi:10.18112/openneuro.ds003645.v2.0.2,3.0
103,ds003655,156,156,1,21,500,130.92305555555555,20.26 GB,21756907235,openneuro,ds003655,Healthy,Visual,Memory,eeg,VerbalWorkingMemory,CC0,10.18112/openneuro.ds003655.v1.0.0,4.0
104,ds003670,62,25,1,35,2000,72.77206638888889,72.22 GB,77549594582,openneuro,ds003670,Healthy,Visual,Attention,eeg,"Dataset of Concurrent EEG, ECG, and Behavior with Multiple Doses of transcranial Electrical Stimulation - BIDS",CC0,10.18112/openneuro.ds003670.v1.1.0,6.0
105,ds003682,336,28,1,414,1200,31.7550625,211.62 GB,227225155192,openneuro,ds003682,Healthy,Unknown,Learning,meg,Model-based aversive learning in humans is supported by preferential task state reactivation,CC0,10.18112/openneuro.ds003682.v1.0.0,1.0
106,ds003688,107,51,2,74*,512*,9.20130295247396,15.21 GB,16334721863,openneuro,ds003688,Epilepsy,Multisensory,Perception,ieeg,Open multimodal iEEG-fMRI dataset from naturalistic stimulation with a short audiovisual film,CC0,doi:10.18112/openneuro.ds003688.v1.0.7,9.0
107,ds003690,375,75,3,66*,500,47.65696944444444,21.46 GB,23043388712,openneuro,ds003690,Healthy,Auditory,Decision-making,eeg,"EEG, ECG and pupil data from young and older adults: rest and auditory cued reaction time tasks",CC0,10.18112/openneuro.ds003690.v1.0.0,5.0
108,ds003694,132,28,1,327*,1000,,218.47 GB,234581975924,openneuro,ds003694,Unknown,Unknown,Unknown,meg,MEGMEM,CC0,10.18112/openneuro.ds003694.v1.0.0,1.0
109,ds003702,47,47,1,59,500,40.459041666666664,17.49 GB,18784103504,openneuro,ds003702,Healthy,Visual,Memory,eeg,Social Memory cuing,CC0,10.18112/openneuro.ds003702.v1.0.1,3.0
110,ds003703,102,34,2,314,1000,21.81608277777778,92.35 GB,99158117602,openneuro,ds003703,Unknown,Unknown,Unknown,meg,Frequency Tagging of Syntactic Structure or Lexical Properties,CC0,10.18112/openneuro.ds003703.v1.0.0,1.0
111,ds003708,1,1,1,89,2048,1.1047416178385416,620.15 MB,650274380,openneuro,ds003708,Unknown,Other,Clinical/Intervention,ieeg,Basis profile curve identification to understand electrical stimulation effects in human brain networks,CC0,10.18112/openneuro.ds003708.v1.0.0,1.0
112,ds003710,48,13,1,32,5000,9.1654915,10.18 GB,10934705875,openneuro,ds003710,Healthy,Multisensory,Perception,eeg,APPLESEED Example Dataset,CC0,doi:10.18112/openneuro.ds003710.v1.0.2,1.0
113,ds003739,120,30,4,149,256,20.57443576388889,10.94 GB,11742611120,openneuro,ds003739,Healthy,Motor,Perception,eeg,Perturbed beam-walking task,CC0,10.18112/openneuro.ds003739.v1.0.2,5.0
114,ds003751,38,38,1,131,250,19.94988888888889,4.71 GB,5057922854,openneuro,ds003751,Healthy,Multisensory,Affect,eeg,Dataset on Emotion with Naturalistic Stimuli (DENS),CC0,10.18112/openneuro.ds003751.v1.0.2,7.0
